year,quarter,crop,region,demand_index,demand_level,season,buyer_type,export_demand,domestic_demand,market_trend
2021,Q1,Wheat,Maharashtra,62,Medium,Rabi,Wholesaler,Low,Medium,Stable
2021,Q2,Wheat,Maharashtra,65,Medium,Rabi,Wholesaler,Low,Medium,Stable
2021,Q3,Rice,Maharashtra,68,Medium,Kharif,Retailer,Medium,High,Increasing
2021,Q4,Rice,Maharashtra,70,Medium,Kharif,Retailer,Medium,High,Increasing
2022,Q1,Wheat,Maharashtra,70,Medium,Rabi,Wholesaler,Medium,High,Increasing
2022,Q2,Wheat,Maharashtra,73,High,Rabi,Exporter,Medium,High,Increasing
2022,Q3,Rice,Maharashtra,75,High,Kharif,Retailer,High,High,Increasing
2022,Q4,Rice,Maharashtra,77,High,Kharif,Exporter,High,High,StrongGrowth
2023,Q1,Wheat,Maharashtra,78,High,Rabi,Exporter,High,High,Increasing
2023,Q2,Wheat,Maharashtra,80,High,Rabi,Exporter,High,High,StrongGrowth
2023,Q3,Rice,Maharashtra,82,High,Kharif,Exporter,High,High,StrongGrowth
2023,Q4,Maize,Maharashtra,65,Medium,Kharif,FeedIndustry,Low,Medium,Stable
2024,Q1,Wheat,Maharashtra,85,High,Rabi,Exporter,High,High,StrongGrowth
2024,Q2,Wheat,Maharashtra,87,High,Rabi,Exporter,High,High,StrongGrowth
2024,Q3,Rice,Maharashtra,88,High,Kharif,Exporter,High,High,StrongGrowth
2024,Q4,Maize,Maharashtra,72,Medium,Kharif,FeedIndustry,Medium,Medium,Increasing
2025,Q1,Wheat,Maharashtra,90,High,Rabi,Exporter,VeryHigh,High,StrongGrowth
2025,Q2,Wheat,Maharashtra,92,High,Rabi,Exporter,VeryHigh,High,StrongGrowth
2025,Q3,Rice,Maharashtra,93,High,Kharif,Exporter,VeryHigh,High,StrongGrowth
2025,Q4,Maize,Maharashtra,78,High,Kharif,FeedIndustry,Medium,High,Increasing
